,date,daily_return
0,2018-01-02,0.0
1,2018-01-03,0.0016326325885200233
2,2018-01-04,0.003203698292399523
3,2018-01-05,0.008418679078806389
4,2018-01-08,0.0005660222986630613
5,2018-01-09,0.0006758230461939964
6,2018-01-10,-0.0005963955960120969
7,2018-01-11,0.007049810125142646
8,2018-01-12,0.008514407178195247
9,2018-01-16,-0.0009683701773453682
10,2018-01-17,0.010812243768045514
11,2018-01-18,-0.0016279227689975223
12,2018-01-19,0.0055032085052633154
13,2018-01-22,0.008735475080573785
14,2018-01-23,-0.0012208026387209834
15,2018-01-24,0.0011475089966022545
16,2018-01-25,0.0034306242150093
17,2018-01-26,0.013771114273125048
18,2018-01-29,-0.004657629503071194
19,2018-01-30,-0.01373848570084483
20,2018-01-31,-0.0010068051576447453
21,2018-02-01,0.002488478330170953
22,2018-02-02,-0.02362585035139475
23,2018-02-05,-0.04433586498690769
24,2018-02-06,0.017886361816766845
25,2018-02-07,-0.0027190434947441194
26,2018-02-08,-0.04079221723661153
27,2018-02-09,0.015932203138491058
28,2018-02-12,0.014446380054001779
29,2018-02-13,0.0004436622624157346
30,2018-02-14,0.008412728853820835
31,2018-02-15,0.01444721249106362
32,2018-02-16,0.0007608664044719178
33,2018-02-20,-0.010338760844302273
34,2018-02-21,-0.009503479666372227
35,2018-02-22,0.0011907618760036661
36,2018-02-23,0.014984248215119043
37,2018-02-26,0.014510388717611166
38,2018-02-27,-0.011924300979141097
39,2018-02-28,-0.01248394983154521
40,2018-03-01,-0.010326012247427602
41,2018-03-02,0.00029427693535681885
42,2018-03-05,0.011651698662016576
43,2018-03-06,0.0018105184685026157
44,2018-03-07,-0.0029098927232281274
45,2018-03-08,0.004086491726606365
46,2018-03-09,0.017721494845419516
47,2018-03-12,-0.0039261557823806505
48,2018-03-13,-0.004477233854484352
49,2018-03-14,-0.00708391549511757
50,2018-03-15,0.0015289622909730714
51,2018-03-16,0.0024204920356117633
52,2018-03-19,-0.013362976858764199
53,2018-03-20,0.004419524549120642
54,2018-03-21,-0.0028623316592324534
55,2018-03-22,-0.022831332307493485
56,2018-03-23,-0.017398998827617116
57,2018-03-26,0.029023998862378077
58,2018-03-27,-0.012494159644362209
59,2018-03-28,0.0014396017847729049
60,2018-03-29,0.011393125574451659
61,2018-04-02,-0.022594601230295105
62,2018-04-03,0.015148438760576576
63,2018-04-04,0.012835223321540655
64,2018-04-05,0.007548466356303528
65,2018-04-06,-0.02241978951361994
66,2018-04-09,0.005900867240560466
67,2018-04-10,0.016302316629955908
68,2018-04-11,-0.00723250296284829
69,2018-04-12,0.009630958343244352
70,2018-04-13,-0.003452362888467019
71,2018-04-16,0.008581244093057503
72,2018-04-17,0.010039420921747401
73,2018-04-18,-0.0026741270463543766
74,2018-04-19,-0.0053095642956664905
75,2018-04-20,-0.00822967804625661
76,2018-04-23,0.0003803729601869853
77,2018-04-24,-0.011690449897945763
78,2018-04-25,0.0006694848496503712
79,2018-04-26,0.010679315905083003
80,2018-04-27,0.003221593737406434
81,2018-04-30,-0.008520847341355529
82,2018-05-01,-0.002424873008136674
83,2018-05-02,-0.009516911068584839
84,2018-05-03,-0.0014987556390283977
85,2018-05-04,0.014113771517838717
86,2018-05-07,0.0020205175282041587
87,2018-05-08,0.0009180982137413583
88,2018-05-09,0.004929279350014439
89,2018-05-10,0.007936956402603041
90,2018-05-11,0.005584520976588859
91,2018-05-14,0.000342098018453075
92,2018-05-15,-0.006857657158114208
93,2018-05-16,0.003742060735068976
94,2018-05-17,-0.004124382234641036
95,2018-05-18,-0.002271759129415914
96,2018-05-21,0.007561621218088329
97,2018-05-22,-0.004456506652800657
98,2018-05-23,0.003737867396648101
99,2018-05-24,-0.002439377367642198
100,2018-05-25,-0.0025445765894406384
101,2018-05-29,-0.014111416003972956
102,2018-05-30,0.012407448816154003
103,2018-05-31,-0.008877281636942621
104,2018-06-01,0.01019935905621637
105,2018-06-04,0.008454598519237149
106,2018-06-05,-0.0010756988751780701
107,2018-06-06,0.011211632214129751
108,2018-06-07,0.0036595750044342724
109,2018-06-08,0.0020148828419468473
110,2018-06-11,9.489759458188988e-05
111,2018-06-12,0.0005794249805060516
112,2018-06-13,-0.0037926854300754445
113,2018-06-14,0.0020832433417758917
114,2018-06-15,1.0087617959098708e-05
115,2018-06-18,-0.005928564142952204
116,2018-06-19,-0.005116305255783703
117,2018-06-20,0.001997588892043112
118,2018-06-21,-0.006440124255490185
119,2018-06-22,0.002559225861132864
120,2018-06-25,-0.010063461899931708
121,2018-06-26,0.00023766589371589667
122,2018-06-27,-0.008039028725523738
123,2018-06-28,-0.0014311075770511044
124,2018-06-29,0.008847441027172356
125,2018-07-02,0.0031416198857072896
126,2018-07-03,-0.005545811710259242
127,2018-07-05,0.01058487013498755
128,2018-07-06,0.005018697947966308
129,2018-07-09,0.010245701653526049
130,2018-07-10,0.005110443176999174
131,2018-07-11,-0.006141440537610891
132,2018-07-12,0.00940383817586905
133,2018-07-13,0.0022825160106213016
134,2018-07-16,0.0013405512982604577
135,2018-07-17,0.004520539718241431
136,2018-07-18,0.0015891499017952316
137,2018-07-19,-0.007010860372487829
138,2018-07-20,0.0006398165941872099
139,2018-07-23,0.0008897159606624003
140,2018-07-24,0.006146262657318211
141,2018-07-25,0.010030797951549373
142,2018-07-26,0.0025286610638522657
143,2018-07-27,-0.005563348733709026
144,2018-07-30,-0.004103358315067277
145,2018-07-31,0.0038450086831865343
146,2018-08-01,-0.0032439948251606334
147,2018-08-02,0.0031093610861224713
148,2018-08-03,0.005787110398956778
